08/02/2026,Eyupspor,Buyuksehyr
08/02/2026,Rizespor,Galatasaray
08/02/2026,Karagumruk,Antalyaspor
08/02/2026,Gaziantep,Kasimpasa
08/02/2026,Fenerbahce,Genclerbirligi
08/02/2026,Besiktas,Alanyaspor
08/02/2026,Kayserispor,Kocaelispor
15/02/2026,Galatasaray,Eyupspor
15/02/2026,Goztepe,Kayserispor
15/02/2026,Trabzonspor,Fenerbahce
15/02/2026,Alanyaspor,Konyaspor
15/02/2026,Genclerbirligi,Rizespor
15/02/2026,Buyuksehyr,Besiktas
15/02/2026,Antalyaspor,Samsunspor
15/02/2026,Kocaelispor,Gaziantep
15/02/2026,Kasimpasa,Karagumruk
22/02/2026,Rizespor,Kocaelispor
22/02/2026,Fenerbahce,Kasimpasa
22/02/2026,Karagumruk,Samsunspor
22/02/2026,Alanyaspor,Buyuksehyr
22/02/2026,Gaziantep,Trabzonspor
22/02/2026,Konyaspor,Galatasaray
22/02/2026,Besiktas,Goztepe
22/02/2026,Eyupspor,Genclerbirligi
22/02/2026,Kayserispor,Antalyaspor
01/03/2026,Kasimpasa,Rizespor
01/03/2026,Trabzonspor,Karagumruk
01/03/2026,Galatasaray,Alanyaspor
01/03/2026,Buyuksehyr,Konyaspor
01/03/2026,Genclerbirligi,Kayserispor
01/03/2026,Goztepe,Eyupspor
01/03/2026,Antalyaspor,Fenerbahce
01/03/2026,Kocaelispor,Besiktas
01/03/2026,Samsunspor,Gaziantep
08/03/2026,Gaziantep,Karagumruk
08/03/2026,Besiktas,Galatasaray
08/03/2026,Eyupspor,Kocaelispor
08/03/2026,Fenerbahce,Samsunspor
08/03/2026,Alanyaspor,Genclerbirligi
08/03/2026,Rizespor,Antalyaspor
08/03/2026,Kayserispor,Trabzonspor
08/03/2026,Buyuksehyr,Goztepe
08/03/2026,Konyaspor,Kasimpasa
15/03/2026,Galatasaray,Buyuksehyr
15/03/2026,Kocaelispor,Konyaspor
15/03/2026,Samsunspor,Kayserispor
15/03/2026,Genclerbirligi,Besiktas
15/03/2026,Kasimpasa,Eyupspor
15/03/2026,Antalyaspor,Gaziantep
15/03/2026,Trabzonspor,Rizespor
15/03/2026,Goztepe,Alanyaspor
15/03/2026,Karagumruk,Fenerbahce
22/03/2026,Kayserispor,Karagumruk
22/03/2026,Fenerbahce,Gaziantep
22/03/2026,Alanyaspor,Kocaelispor
22/03/2026,Goztepe,Galatasaray
22/03/2026,Besiktas,Kasimpasa
22/03/2026,Eyupspor,Trabzonspor
22/03/2026,Konyaspor,Genclerbirligi
22/03/2026,Buyuksehyr,Antalyaspor
22/03/2026,Rizespor,Samsunspor
05/04/2026,Genclerbirligi,Goztepe
05/04/2026,Gaziantep,Alanyaspor
05/04/2026,Kasimpasa,Kayserispor
05/04/2026,Samsunspor,Konyaspor
05/04/2026,Karagumruk,Rizespor
05/04/2026,Antalyaspor,Eyupspor
05/04/2026,Trabzonspor,Galatasaray
05/04/2026,Kocaelispor,Buyuksehyr
05/04/2026,Fenerbahce,Besiktas
12/04/2026,Galatasaray,Kocaelispor
